"TransferOrderNo","FromSiteID","ToSiteID","TxnDate","InvtID","BarCode","BaseUnitQty","UnitID"
TO100504839,"9005","1163","2024.06.26","8305010000055","2683000018916",150.0,EA
TO100504839,"9005","1163","2024.06.26","8305010000058","2683000019241",100.0,EA
TO100504841,"9005","1081","2024.06.26","8305020000030","2683000018701",200.0,EA
TO100504841,"9005","1081","2024.06.26","8305020000027","2683000018640",200.0,EA
TO100504841,"9005","1081","2024.06.26","8305010000059","2683000019654",5.0,EA
TO100504841,"9005","1081","2024.06.26","8305010000060","2683000019661",3.0,EA
TO100504841,"9005","1081","2024.06.26","8305020000055","2683000024481",100.0,EA
TO100504841,"9005","1081","2024.06.26","8305010000051","2683000018749",100.0,EA
TO100504843,"9005","1163","2024.06.26","8305020000023","2683000002458",500.0,EA
TO100504844,"9005","1069","2024.06.26","8305030000005","2683000017988",1000.0,EA
TO100504844,"9005","1069","2024.06.26","8305030000004","2683000017957",600.0,EA
TO100504846,"9005","1081","2024.06.26","8305030000004","2683000017957",100.0,EA
TO100504846,"9005","1081","2024.06.26","8305030000005","2683000017988",100.0,EA
TO100504848,"9005","1234","2024.06.26","8305010000051","2683000018749",1000.0,EA
TO100504848,"9005","1234","2024.06.26","8305020000031","2683000018725",600.0,EA
TO100504848,"9005","1234","2024.06.26","8301010000002","2783000017657",2.0,EA
TO100504848,"9005","1234","2024.06.26","8301010000003","8658001500863",2.0,EA
TO100504848,"9005","1234","2024.06.26","8104030000002","2781000017578",1.0,EA
TO100504848,"9005","1234","2024.06.26","8301050000003","2683000021923",3.0,EA
TO100504848,"9005","1234","2024.06.26","8304090000005","2683000034671",100.0,EA
TO100504848,"9005","1234","2024.06.26","8305020000055","2683000024481",200.0,EA
TO100504848,"9005","1234","2024.06.26","8305020000023","2683000002458",100.0,EA
TO100504848,"9005","1234","2024.06.26","8105050000002","2781000017875",3.0,EA
TO100504848,"9005","1234","2024.06.26","8302030000003","000807174526462",1.0,EA
TO100504849,"9005","1077","2024.06.26","8305020000030","2683000018701",500.0,EA
TO100504849,"9005","1077","2024.06.26","8305010000055","2683000018916",250.0,EA
TO100504849,"9005","1077","2024.06.26","8305010000060","2683000019661",10.0,EA
TO100504849,"9005","1077","2024.06.26","8305020000026","2683000018626",300.0,EA
TO100504849,"9005","1077","2024.06.26","1207030000019","26820000026280,",0.0,EA
TO100504850,"9005","1069","2024.06.26","8307030000004","2683000043369",10.0,EA
TO100504852,"9005","1162","2024.06.26","8305030000005","2683000017988",1000.0,EA
TO100504852,"9005","1162","2024.06.26","8305030000004","2683000017957",1000.0,EA
TO100504852,"9005","1162","2024.06.26","8305020000023","2683000002458",1000.0,EA
TO100504852,"9005","1162","2024.06.26","8305020000099","2683000042997",1000.0,EA
TO100504852,"9005","1162","2024.06.26","8305020000055","2683000024481",5000.0,EA
TO100504852,"9005","1162","2024.06.26","8301050000003","2683000021923",10.0,EA
TO100504852,"9005","1162","2024.06.26","8104030000002","2781000017578",1.0,EA
TO100504852,"9005","1162","2024.06.26","8305010000057","2683000019128",100.0,EA
TO100504852,"9005","1162","2024.06.26","8301020000006","2683000019852",2.0,EA
TO100504852,"9005","1162","2024.06.26","8301020000002","2783000017671",2.0,EA
TO100504852,"9005","1162","2024.06.26","8301020000003","2783000017688",2.0,EA
TO100504852,"9005","1162","2024.06.26","8101990000016","2681000025057",1.0,EA
TO100504852,"9005","1162","2024.06.26","8303060000001","2683000023958",1.0,EA
TO100504852,"9005","1162","2024.06.26","8305010000070","2683000029660",2.0,EA
TO100504852,"9005","1162","2024.06.26","8301050000005","2683000031939",100.0,EA
TO100504852,"9005","1162","2024.06.26","8301010000003","8658001500863",10.0,EA
TO100504852,"9005","1162","2024.06.26","8302030000003","000807174526462",3.0,EA
TO100504852,"9005","1162","2024.06.26","8303020000002","2783000017121",3.0,EA
TO100504852,"9005","1162","2024.06.26","8103990000011","4521006150941",1.0,EA
TO100504852,"9005","1162","2024.06.26","8308020000005","2683000026973",10.0,EA
TO100504852,"9005","1162","2024.06.26","8301010000002","2783000017657",10.0,EA
TO100504853,"9005","1090","2024.06.26","1207030000019","26820000026280,",0.0,EA
TO100504853,"9005","1090","2024.06.26","8305010000055","2683000018916",300.0,EA
TO100504853,"9005","1090","2024.06.26","8307030000004","2683000043369",4.0,EA
TO100504853,"9005","1090","2024.06.26","8305010000051","2683000018749",1000.0,EA
TO100504853,"9005","1090","2024.06.26","8305020000029","2683000018688",300.0,EA
TO100504853,"9005","1090","2024.06.26","8305020000027","2683000018640",300.0,EA
TO100504853,"9005","1090","2024.06.26","8305020000055","2683000024481",600.0,EA
TO100504853,"9005","1090","2024.06.26","8308020000005","2683000026973",4.0,EA
TO100504854,"9005","1074","2024.06.26","8305020000023","2683000002458",200.0,EA
TO100504854,"9005","1074","2024.06.26","8305020000055","2683000024481",150.0,EA
TO100504854,"9005","1074","2024.06.26","8305020000099","2683000042997",300.0,EA
TO100504854,"9005","1074","2024.06.26","8305010000055","2683000018916",300.0,EA
TO100504854,"9005","1074","2024.06.26","8305020000026","2683000018626",300.0,EA
TO100504854,"9005","1074","2024.06.26","8305020000030","2683000018701",300.0,EA
TO100504854,"9005","1074","2024.06.26","8305010000051","2683000018749",150.0,EA
TO100504854,"9005","1074","2024.06.26","8305010000052","2683000018763",150.0,EA
TO100504854,"9005","1074","2024.06.26","8305020000029","2683000018688",200.0,EA
TO100504854,"9005","1074","2024.06.26","1207030000019","26820000026280,",0.0,EA
TO100504854,"9005","1074","2024.06.26","8301050000003","2683000021923",5.0,EA
TO100504854,"9005","1074","2024.06.26","1207030000012","2312000017123",200.0,EA
TO100504855,"9005","1111","2024.06.26","8212020100002","2682000036135",2.0,KG
TO100504855,"9005","1111","2024.06.26","8301010000002","2783000017657",5.0,EA
TO100504855,"9005","1111","2024.06.26","1207030000015","8654000553497",2.0,EA
TO100504855,"9005","1111","2024.06.26","8305020000029","2683000018688",100.0,EA
TO100504856,"9005","1036","2024.06.26","8208060000004","2682000019473",5000.0,GR
